size,operation,time
1100000,dot product,0.00015931
1100000,dot product,0.000150031
1100000,dot product,0.000143698
1100000,dot product,0.000139462
1100000,dot product,0.000137056
1100000,dot product,0.000130465
11000,matrix multiplication,0.044984748
11000,matrix multiplication,0.045948762
11000,matrix multiplication,0.047205478
11000,matrix multiplication,0.047193292
11000,matrix multiplication,0.047353667
11000,matrix multiplication,0.047022036
11000,matrix multiplication,0.047489258
11000,matrix multiplication,0.046807346
11000,matrix multiplication,0.047472647
11000,matrix multiplication,0.047287803
1200000,dot product,0.000345468
1200000,dot product,0.000248698
1200000,dot product,0.000221002
1200000,dot product,0.000237081
1200000,dot product,0.000249957
1200000,dot product,0.000243387
1200000,dot product,0.000236849
1200000,dot product,0.000219446
1200000,dot product,0.00021204
1200000,dot product,0.000207445
12000,matrix multiplication,0.055972936
12000,matrix multiplication,0.057829133
12000,matrix multiplication,0.057126678
12000,matrix multiplication,0.057950895
12000,matrix multiplication,0.057878588
12000,matrix multiplication,0.059021164
12000,matrix multiplication,0.057680072
12000,matrix multiplication,0.05731672
12000,matrix multiplication,0.058398303
12000,matrix multiplication,0.058579574
1300000,dot product,0.000417383
1300000,dot product,0.000342344
1300000,dot product,0.000358764
1300000,dot product,0.000381983
1300000,dot product,0.000359512
1300000,dot product,0.000323877
1300000,dot product,0.000297268
1300000,dot product,0.000290687
1300000,dot product,0.000296929
1300000,dot product,0.000281278
13000,matrix multiplication,0.075584905
13000,matrix multiplication,0.075561218
13000,matrix multiplication,0.074898525
13000,matrix multiplication,0.075462478
13000,matrix multiplication,0.075297557
13000,matrix multiplication,0.078224946
13000,matrix multiplication,0.08310625
13000,matrix multiplication,0.063207492
13000,matrix multiplication,0.062786091
13000,matrix multiplication,0.062106341
1400000,dot product,0.000451349
1400000,dot product,0.000361263
1400000,dot product,0.000347783
1400000,dot product,0.000318131
1400000,dot product,0.000307861
1400000,dot product,0.000302112
1400000,dot product,0.000296948
1400000,dot product,0.000292767
1400000,dot product,0.000287113
1400000,dot product,0.000306586
14000,matrix multiplication,0.072097049
14000,matrix multiplication,0.072194285
14000,matrix multiplication,0.071240141
14000,matrix multiplication,0.071725593
14000,matrix multiplication,0.070942826
14000,matrix multiplication,0.070349849
14000,matrix multiplication,0.072736735
14000,matrix multiplication,0.075976213
14000,matrix multiplication,0.075357528
14000,matrix multiplication,0.076956895
1500000,dot product,0.00051539
1500000,dot product,0.000450329
1500000,dot product,0.000417959
1500000,dot product,0.00040771
1500000,dot product,0.000393604
1500000,dot product,0.000394533
1500000,dot product,0.000396411
1500000,dot product,0.000375178
1500000,dot product,0.000406945
1500000,dot product,0.000397687
15000,matrix multiplication,0.084358144
15000,matrix multiplication,0.082593287
15000,matrix multiplication,0.083147369
15000,matrix multiplication,0.083430752
15000,matrix multiplication,0.085194496
15000,matrix multiplication,0.084944593
15000,matrix multiplication,0.08469628
15000,matrix multiplication,0.084513269
15000,matrix multiplication,0.083149584
15000,matrix multiplication,0.083297061
1600000,dot product,0.000495635
1600000,dot product,0.000446055
1600000,dot product,0.000427384
1600000,dot product,0.000450462
1600000,dot product,0.000440072
1600000,dot product,0.000404199
1600000,dot product,0.000396054
1600000,dot product,0.000416604
1600000,dot product,0.000392769
1600000,dot product,0.00038754
16000,matrix multiplication,0.101033871
16000,matrix multiplication,0.099780753
16000,matrix multiplication,0.101214462
16000,matrix multiplication,0.103920424
16000,matrix multiplication,0.09896233
16000,matrix multiplication,0.095946782
16000,matrix multiplication,0.096053592
16000,matrix multiplication,0.095484859
16000,matrix multiplication,0.09510047
16000,matrix multiplication,0.094668511
1700000,dot product,0.000546028
1700000,dot product,0.000480126
1700000,dot product,0.000453559
1700000,dot product,0.000462074
1700000,dot product,0.000444252
1700000,dot product,0.000439446
1700000,dot product,0.000432266
1700000,dot product,0.000435305
1700000,dot product,0.000437536
1700000,dot product,0.00046955
17000,matrix multiplication,0.107902606
17000,matrix multiplication,0.107094557
17000,matrix multiplication,0.107408052
17000,matrix multiplication,0.107281863
17000,matrix multiplication,0.1069691
17000,matrix multiplication,0.106920746
17000,matrix multiplication,0.105180608
17000,matrix multiplication,0.106643359
17000,matrix multiplication,0.107903804
17000,matrix multiplication,0.10575709
1800000,dot product,0.00064176
1800000,dot product,0.000620456
1800000,dot product,0.000620272
1800000,dot product,0.000620713
1800000,dot product,0.000563467
1800000,dot product,0.000562823
1800000,dot product,0.000522728
1800000,dot product,0.000533065
1800000,dot product,0.000548394
1800000,dot product,0.000526955
18000,matrix multiplication,0.120436103
18000,matrix multiplication,0.122426001
18000,matrix multiplication,0.117819811
18000,matrix multiplication,0.118682656
18000,matrix multiplication,0.11855102
18000,matrix multiplication,0.120407121
18000,matrix multiplication,0.120498743
18000,matrix multiplication,0.122564905
18000,matrix multiplication,0.120670539
18000,matrix multiplication,0.121021648
